Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,MEASURE error,Operational
99,202.36260499928898,192.654628842815,0.0054931640625,0.007080078125,0.00390625,2584.0,0.00014259130192967028,32.0,0.00014259130192967028,0,0.00014259130192967028,0.00014259130192967028,95:0.0017936434700464854;95:0.0017936434700464854;95:0.0011271990526497688;95:0.0011271990526497688;115:0.010086631024429388;115:0.010086631024429388;115:0.01524726686782607;115:0.01524726686782607,95:68.0;95:68.0;95:68.0;95:68.0;115:68.0;115:68.0;115:68.0;115:68.0,95:0.0009938016181236242;95:0.0009938016181236242;95:0.0009943094851241618;95:0.0009943094851241618;115:0.01901421239046225;115:0.01901421239046225;115:0.016389284833213003;115:0.016389284833213003,0.0054931640625,Yes
100,135.55409212754307,56.85438534933121,0.01025390625,0.013427734375,0.007080078125,2584.0,0.00013934375090357743,32.0,0.00013934375090357743,0,0.00013934375090357743,0.00013934375090357743,101:0.002289789577934742;101:0.002289789577934742;101:0.0008721460978478035;101:0.0008721460978478035,101:68.0;101:68.0;101:68.0;101:68.0,101:0.0008034764625161062;101:0.0008034764625161062;101:0.0009911579815805316;101:0.0009911579815805316,0.01025390625,Yes
101,337.5071185245639,394.856473585431,0.003173828125,0.005615234375,0.000732421875,2584.0,0.00012560681331736726,32.0,0.00012560681331736726,0,0.00012560681331736726,0.00012560681331736726,100:0.002289789577934742;100:0.002289789577934742;100:0.0008721460978478035;100:0.0008721460978478035;102:0.0016143891788694964;102:0.0016143891788694964;102:0.001894774270287336;102:0.001894774270287336;116:0.0014079817654758242;116:0.0014079817654758242;116:0.0008359100972408773;116:0.0008359100972408773,100:68.0;100:68.0;100:68.0;100:68.0;102:68.0;102:68.0;102:68.0;102:68.0;116:68.0;116:68.0;116:68.0;116:68.0,100:0.0008034764625161062;100:0.0008034764625161062;100:0.0009911579815805316;100:0.0009911579815805316;102:0.0008836273931201455;102:0.0008836273931201455;102:0.0008755411673262714;102:0.0008755411673262714;116:0.0017928769813340684;116:0.0017928769813340684;116:0.0014072282662762892;116:0.0014072282662762892,0.003173828125,Yes
102,277.90862114992325,350.55753820482573,0.0050048828125,0.0078125,0.002197265625,2584.0,0.0002934974236351253,32.0,0.0002934974236351253,0,0.0002934974236351253,0.0002934974236351253,101:0.0016143891788694964;101:0.0016143891788694964;101:0.001894774270287336;101:0.001894774270287336;103:0.0019265678787046547;103:0.0019265678787046547;103:0.0021266523600015075;103:0.0021266523600015075,101:68.0;101:68.0;101:68.0;101:68.0;103:68.0;103:68.0;103:68.0;103:68.0,101:0.0008836273931201455;101:0.0008836273931201455;101:0.0008755411673262714;101:0.0008755411673262714;103:0.001547942625299309;103:0.001547942625299309;103:0.001615503363688986;103:0.001615503363688986,0.0050048828125,Yes
103,351.88076559947973,467.378611695696,0.014892578125,0.027099609375,0.002685546875,2584.0,0.00013486316476605127,32.0,0.00013486316476605127,0,0.00013486316476605127,0.00013486316476605127,96:0.003239626067119583;96:0.003239626067119583;96:0.004368268630734112;96:0.004368268630734112;102:0.0019265678787046547;102:0.0019265678787046547;102:0.0021266523600015075;102:0.0021266523600015075;104:0.000878698790070298;104:0.000878698790070298;104:0.000810389765985714;104:0.000810389765985714,96:68.0;96:68.0;96:68.0;96:68.0;102:68.0;102:68.0;102:68.0;102:68.0;104:68.0;104:68.0;104:68.0;104:68.0,96:0.001790037283271373;96:0.001790037283271373;96:0.0012314907003766196;96:0.0012314907003766196;102:0.001547942625299309;102:0.001547942625299309;102:0.001615503363688986;102:0.001615503363688986;104:0.0009666478866465489;104:0.0009666478866465489;104:0.0010014534831510602;104:0.0010014534831510602,0.014892578125,Yes
104,227.06123029341566,302.85363526652935,0.00537109375,0.0078125,0.0029296875,2584.0,0.0004498015261585758,32.0,0.0004498015261585758,0,0.0004498015261585758,0.0004498015261585758,103:0.000878698790070298;103:0.000878698790070298;103:0.000810389765985714;103:0.000810389765985714;105:0.0016245504589824933;105:0.0016245504589824933;105:0.0013987365589085976;105:0.0013987365589085976,103:68.0;103:68.0;103:68.0;103:68.0;105:68.0;105:68.0;105:68.0;105:68.0,103:0.0009666478866465489;103:0.0009666478866465489;103:0.0010014534831510602;103:0.0010014534831510602;105:0.0021045439451932157;105:0.0021045439451932157;105:0.0018683687261978055;105:0.0018683687261978055,0.00537109375,Yes
105,94.8877641430102,84.75067767610845,0.0050048828125,0.010009765625,0,2584.0,0.00013133056034407854,32.0,0.00013133056034407854,0,0.00013133056034407854,0.00013133056034407854,104:0.0016245504589824933;104:0.0016245504589824933;104:0.0013987365589085976;104:0.0013987365589085976;106:0.009665219003382297;106:0.009665219003382297;106:0.009616086608503799;106:0.009616086608503799;117:0.0010912815314279567;117:0.0010912815314279567;117:0.001637207470253893;117:0.001637207470253893,104:68.0;104:68.0;104:68.0;104:68.0;106:92.0;106:92.0;106:92.0;106:92.0;117:68.0;117:68.0;117:68.0;117:68.0,104:0.0021045439451932157;104:0.0021045439451932157;104:0.0018683687261978055;104:0.0018683687261978055;106:0.004045394117487416;106:0.004045394117487416;106:0.004167591112939684;106:0.004167591112939684;117:0.0017422242944601096;117:0.0017422242944601096;117:0.00289575238999229;117:0.00289575238999229,0.0050048828125,Yes
106,208.7472378683078,243.06428706151755,0.0135498046875,0.015625,0.011474609375,2584.0,0.00021435729147764528,32.0,0.00021435729147764528,0,0.00021435729147764528,0.00021435729147764528,105:0.009665219003382297;105:0.009665219003382297;105:0.009616086608503799;105:0.009616086608503799;107:0.005049011849634161;107:0.005049011849634161;107:0.0030976329268674885;107:0.0030976329268674885,105:92.0;105:92.0;105:92.0;105:92.0;107:68.0;107:68.0;107:68.0;107:68.0,105:0.004045394117487416;105:0.004045394117487416;105:0.004167591112939684;105:0.004167591112939684;107:0.0019375778461603876;107:0.0019375778461603876;107:0.0019933028505196293;107:0.0019933028505196293,0.0135498046875,Yes
107,196.56457444268082,209.0399285410363,0.0045166015625,0.00537109375,0.003662109375,2584.0,0.0002103411465166208,32.0,0.0002103411465166208,0,0.0002103411465166208,0.0002103411465166208,97:0.002950056852783156;97:0.002950056852783156;97:0.0027368166258390225;97:0.0027368166258390225;106:0.005049011849634161;106:0.005049011849634161;106:0.0030976329268674885;106:0.0030976329268674885;108:0.0017218041138646611;108:0.0017218041138646611;108:0.0010385108593939096;108:0.0010385108593939096,97:68.0;97:68.0;97:68.0;97:68.0;106:68.0;106:68.0;106:68.0;106:68.0;108:68.0;108:68.0;108:68.0;108:68.0,97:0.002461083616596915;97:0.002461083616596915;97:0.0016623489276740844;97:0.0016623489276740844;106:0.0019375778461603876;106:0.0019375778461603876;106:0.0019933028505196293;106:0.0019933028505196293;108:0.0008585895610490057;108:0.0008585895610490057;108:0.0009746087898815092;108:0.0009746087898815092,0.0045166015625,Yes
108,301.42060360765385,284.85399360259385,0.00537109375,0.004638671875,0.006103515625,2584.0,0.00015772777774255436,32.0,0.00015772777774255436,0,0.00015772777774255436,0.00015772777774255436,107:0.0017218041138646611;107:0.0017218041138646611;107:0.0010385108593939096;107:0.0010385108593939096;109:0.0020651967463604926;109:0.0020651967463604926;109:0.0012824536029985012;109:0.0012824536029985012,107:68.0;107:68.0;107:68.0;107:68.0;109:68.0;109:68.0;109:68.0;109:68.0,107:0.0008585895610490057;107:0.0008585895610490057;107:0.0009746087898815092;107:0.0009746087898815092;109:0.0021576029267197927;109:0.0021576029267197927;109:0.0010089133356987467;109:0.0010089133356987467,0.00537109375,Yes
