Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,MEASURE error,Operational
74,210.9748452299298,253.10391495462983,0.0028076171875,0.004638671875,0.0009765625,2584.0,0.0001702363407865856,32.0,0.0001702363407865856,0,0.0001702363407865856,0.0001702363407865856,73:0.0008252862349033552;73:0.0008252862349033552;73:0.0011510570993266134;73:0.0011510570993266134;75:0.004889423282023936;75:0.004889423282023936;75:0.0061547092236168;75:0.0061547092236168,73:68.0;73:68.0;73:68.0;73:68.0;75:68.0;75:68.0;75:68.0;75:68.0,73:0.001165394427137173;73:0.001165394427137173;73:0.0010150299776423566;73:0.0010150299776423566;75:0.0023459943827500163;75:0.0023459943827500163;75:0.0024610914558507446;75:0.0024610914558507446,0.0028076171875,Yes
75,251.44426301502202,344.45050976794204,0.0037841796875,0.00634765625,0.001220703125,2584.0,0.0001380989336592419,32.0,0.0001380989336592419,0,0.0001380989336592419,0.0001380989336592419,59:0.001777660913425988;59:0.001777660913425988;59:0.001263846404662039;59:0.001263846404662039;74:0.004889423282023936;74:0.004889423282023936;74:0.0061547092236168;74:0.0061547092236168,59:68.0;59:68.0;59:68.0;59:68.0;74:68.0;74:68.0;74:68.0;74:68.0,59:0.0018902269095493751;59:0.0018902269095493751;59:0.0011726687489844734;59:0.0011726687489844734;74:0.0023459943827500163;74:0.0023459943827500163;74:0.0024610914558507446;74:0.0024610914558507446,0.0037841796875,Yes
76,172.40459129814082,249.16442067177874,0.00341796875,0.005126953125,0.001708984375,2584.0,0.00029968011371590413,32.0,0.00029968011371590413,0,0.00029968011371590413,0.00029968011371590413,61:0.0018559236036955196;61:0.0018559236036955196;61:0.0026348483846559134;61:0.0026348483846559134;81:0.0012554231187182907;81:0.0012554231187182907;81:0.0014894691006713534;81:0.0014894691006713534,61:68.0;61:68.0;61:68.0;61:68.0;81:68.0;81:68.0;81:68.0;81:68.0,61:0.0025731599119626913;61:0.0025731599119626913;61:0.0022570164323950925;61:0.0022570164323950925;81:0.0012422247903443318;81:0.0012422247903443318;81:0.001394327857902583;81:0.001394327857902583,0.00341796875,Yes
77,205.75953589029183,299.6379140476693,0.0040283203125,0.00732421875,0.000732421875,2584.0,0.00017944027577572995,32.0,0.00017944027577572995,0,0.00017944027577572995,0.00017944027577572995,65:0.0010328100482697444;65:0.0010328100482697444;65:0.0012702289519608834;65:0.0012702289519608834;85:0.0016265139732153655;85:0.0016265139732153655;85:0.01338055980631378;85:0.01338055980631378,65:68.0;65:68.0;65:68.0;65:68.0;85:68.0;85:68.0;85:68.0;85:68.0,65:0.001178956783961349;65:0.001178956783961349;65:0.0013327574625956462;65:0.0013327574625956462;85:0.0015865096927256406;85:0.0015865096927256406;85:0.002160867985140008;85:0.002160867985140008,0.0040283203125,Yes
78,212.26894056809044,279.15028703390516,0.003173828125,0.00537109375,0.00146484375,2584.0,0.00012754115053550664,32.0,0.00012754115053550664,0,0.00012754115053550664,0.00012754115053550664,69:0.001414850225926384;69:0.001414850225926384;69:0.002037671850582373;69:0.002037671850582373;89:0.0010896588576015664;89:0.0010896588576015664;89:0.0014282207872109431;89:0.0014282207872109431,69:68.0;69:68.0;69:68.0;69:68.0;89:68.0;89:68.0;89:68.0;89:68.0,69:0.0009701844400379356;69:0.0009701844400379356;69:0.0012186907795095625;69:0.0012186907795095625;89:0.0012602867072945;89:0.0012602867072945;89:0.0012930693558352857;89:0.0012930693558352857,0.003173828125,Yes
79,199.0512966117833,276.43176281954396,0.0030517578125,0.004150390625,0.001953125,2584.0,0.00015241854963570075,32.0,0.00015241854963570075,0,0.00015241854963570075,0.00015241854963570075,73:0.0031270841457929355;73:0.0031270841457929355;73:0.0037864486694331456;73:0.0037864486694331456;93:0.0021082494629606763;93:0.0021082494629606763;93:0.005043316704361117;93:0.005043316704361117,73:68.0;73:68.0;73:68.0;73:68.0;93:68.0;93:68.0;93:68.0;93:68.0,73:0.0036572336392075577;73:0.0036572336392075577;73:0.002804253355772446;73:0.002804253355772446;93:0.002795586153064411;93:0.002795586153064411;93:0.0013883027213722199;93:0.0013883027213722199,0.0030517578125,Yes
80,254.98117802392701,330.4908177233711,0.05615234375,0.103271484375,0.009033203125,2584.0,0.00015682295861056336,32.0,0.00015682295861056336,0,0.00015682295861056336,0.00015682295861056336,81:0.0015409034694118806;81:0.0015409034694118806;81:0.001205957644131811;81:0.001205957644131811,81:68.0;81:68.0;81:68.0;81:68.0,81:0.0020723546339387333;81:0.0020723546339387333;81:0.004813272254581835;81:0.004813272254581835,0.05615234375,Yes
81,167.571247991489,226.92668833747086,0.0028076171875,0.005126953125,0.00048828125,2584.0,0.0002678693196326681,32.0,0.0002678693196326681,0,0.0002678693196326681,0.0002678693196326681,76:0.0012554231187182907;76:0.0012554231187182907;76:0.0014894691006713534;76:0.0014894691006713534;80:0.0015409034694118806;80:0.0015409034694118806;80:0.001205957644131811;80:0.001205957644131811;82:0.001939312996416781;82:0.001939312996416781;82:0.0016606019576392017;82:0.0016606019576392017,76:68.0;76:68.0;76:68.0;76:68.0;80:68.0;80:68.0;80:68.0;80:68.0;82:68.0;82:68.0;82:68.0;82:68.0,76:0.0012422247903443318;76:0.0012422247903443318;76:0.001394327857902583;76:0.001394327857902583;80:0.0020723546339387333;80:0.0020723546339387333;80:0.004813272254581835;80:0.004813272254581835;82:0.0017292776319333125;82:0.0017292776319333125;82:0.0022693464468621083;82:0.0022693464468621083,0.0028076171875,Yes
82,194.99000451704757,265.0567682908437,0.0203857421875,0.017578125,0.023193359375,2584.0,0.000451986071458335,32.0,0.000451986071458335,0,0.000451986071458335,0.000451986071458335,81:0.001939312996416781;81:0.001939312996416781;81:0.0016606019576392017;81:0.0016606019576392017;83:0.0016656063022705558;83:0.0016656063022705558;83:0.00220212384183191;83:0.00220212384183191,81:68.0;81:68.0;81:68.0;81:68.0;83:68.0;83:68.0;83:68.0;83:68.0,81:0.0017292776319333125;81:0.0017292776319333125;81:0.0022693464468621083;81:0.0022693464468621083;83:0.002725859588952384;83:0.002725859588952384;83:0.001556407190337783;83:0.001556407190337783,0.0203857421875,Yes
83,145.0653806620142,163.75929620343493,0.0032958984375,0.006103515625,0.00048828125,2584.0,0.0002944253944899361,32.0,0.0002944253944899361,0,0.0002944253944899361,0.0002944253944899361,82:0.0016656063022705558;82:0.0016656063022705558;82:0.00220212384183191;82:0.00220212384183191;84:0.002239228901969592;84:0.002239228901969592;84:0.0026412595334157907;84:0.0026412595334157907;96:0.002772371246792915;96:0.002772371246792915;96:0.002328575194167626;96:0.002328575194167626,82:68.0;82:68.0;82:68.0;82:68.0;84:68.0;84:68.0;84:68.0;84:68.0;96:68.0;96:68.0;96:68.0;96:68.0,82:0.002725859588952384;82:0.002725859588952384;82:0.001556407190337783;82:0.001556407190337783;84:0.0018369548264456637;84:0.0018369548264456637;84:0.0032943714193962026;84:0.0032943714193962026;96:0.0017630603576480885;96:0.0017630603576480885;96:0.0016118395443767142;96:0.0016118395443767142,0.0032958984375,Yes
