Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,MEASURE error,Operational
20,104.4878749654803,130.55914686474688,0.00732421875,0.01220703125,0.00244140625,2584.0,0.00026770900747542407,32.0,0.00026770900747542407,0,0.00026770900747542407,0.00026770900747542407,21:0.001447264064444398;21:0.001447264064444398;21:0.0015229899155429494;21:0.0015229899155429494,21:68.0;21:68.0;21:68.0;21:68.0,21:0.0009851322413713948;21:0.0009851322413713948;21:0.0013846501417774382;21:0.0013846501417774382,0.00732421875,Yes
21,173.0297276363012,193.62092625771075,0.004150390625,0.0068359375,0.00146484375,2584.0,0.0001311998194427248,32.0,0.0001311998194427248,0,0.0001311998194427248,0.0001311998194427248,20:0.001447264064444398;20:0.001447264064444398;20:0.0015229899155429494;20:0.0015229899155429494;22:0.0009087586680573967;22:0.0009087586680573967;22:0.0008261994103309633;22:0.0008261994103309633;36:0.0007764355729028838;36:0.0007764355729028838;36:0.0008779872223288188;36:0.0008779872223288188,20:68.0;20:68.0;20:68.0;20:68.0;22:96.0;22:96.0;22:96.0;22:96.0;36:68.0;36:68.0;36:68.0;36:68.0,20:0.0009851322413713948;20:0.0009851322413713948;20:0.0013846501417774382;20:0.0013846501417774382;22:0.0008971664657237699;22:0.0008971664657237699;22:0.0011756881761655902;22:0.0011756881761655902;36:0.0007131237951790159;36:0.0007131237951790159;36:0.0007332872600763485;36:0.0007332872600763485,0.004150390625,Yes
22,236.47201279556106,286.94050721429494,0.005126953125,0.00830078125,0.001953125,2584.0,0.00019320866493179558,32.0,0.00019320866493179558,0,0.00019320866493179558,0.00019320866493179558,21:0.0009087586680573967;21:0.0009087586680573967;21:0.0008261994103309633;21:0.0008261994103309633;23:0.01544407103668441;23:0.01544407103668441;23:0.0058480715105589665;23:0.0058480715105589665,21:96.0;21:96.0;21:96.0;21:96.0;23:68.0;23:68.0;23:68.0;23:68.0,21:0.0008971664657237699;21:0.0008971664657237699;21:0.0011756881761655902;21:0.0011756881761655902;23:0.008840717709759999;23:0.008840717709759999;23:0.006494374293308958;23:0.006494374293308958,0.005126953125,Yes
23,251.96335760997454,264.82778081329496,0.001953125,0.001953125,0.001953125,2584.0,0.00023841753082978466,32.0,0.00023841753082978466,0,0.00023841753082978466,0.00023841753082978466,16:0.007849304402375135;16:0.007849304402375135;16:0.002865857684017592;16:0.002865857684017592;22:0.01544407103668441;22:0.01544407103668441;22:0.0058480715105589665;22:0.0058480715105589665;24:0.004515824662801565;24:0.004515824662801565;24:0.00526774258932583;24:0.00526774258932583,16:68.0;16:68.0;16:68.0;16:68.0;22:68.0;22:68.0;22:68.0;22:68.0;24:68.0;24:68.0;24:68.0;24:68.0,16:0.007005358898722253;16:0.007005358898722253;16:0.002466240955105836;16:0.002466240955105836;22:0.008840717709759999;22:0.008840717709759999;22:0.006494374293308958;22:0.006494374293308958;24:0.003410574410117495;24:0.003410574410117495;24:0.002201935627142243;24:0.002201935627142243,0.001953125,Yes
24,262.4233278311315,336.13332003366014,0.005615234375,0.0078125,0.00341796875,2584.0,0.00017014321771347598,32.0,0.00017014321771347598,0,0.00017014321771347598,0.00017014321771347598,23:0.004515824662801565;23:0.004515824662801565;23:0.00526774258932583;23:0.00526774258932583;25:0.0008405650209818427;25:0.0008405650209818427;25:0.0014428346443701723;25:0.0014428346443701723,23:68.0;23:68.0;23:68.0;23:68.0;25:68.0;25:68.0;25:68.0;25:68.0,23:0.003410574410117495;23:0.003410574410117495;23:0.002201935627142243;23:0.002201935627142243;25:0.0008813269622552633;25:0.0008813269622552633;25:0.0009914044815212408;25:0.0009914044815212408,0.005615234375,Yes
25,352.37947276467855,390.76616631631936,0.01171875,0.01318359375,0.01025390625,2584.0,0.00012930568684063555,32.0,0.00012930568684063555,0,0.00012930568684063555,0.00012930568684063555,24:0.0008405650209818427;24:0.0008405650209818427;24:0.0014428346443701723;24:0.0014428346443701723;26:0.0013933536705271476;26:0.0013933536705271476;26:0.0014035269402839223;26:0.0014035269402839223;37:0.003712013617114124;37:0.003712013617114124;37:0.0040938200366546496;37:0.0040938200366546496,24:68.0;24:68.0;24:68.0;24:68.0;26:68.0;26:68.0;26:68.0;26:68.0;37:68.0;37:68.0;37:68.0;37:68.0,24:0.0008813269622552633;24:0.0008813269622552633;24:0.0009914044815212408;24:0.0009914044815212408;26:0.0013758360076944198;26:0.0013758360076944198;26:0.0011237908374148176;26:0.0011237908374148176;37:0.0023916850045291593;37:0.0023916850045291593;37:0.0026477218576126393;37:0.0026477218576126393,0.01171875,Yes
26,154.88065496779484,196.2736587613318,0.0068359375,0.01171875,0.001953125,2584.0,0.0004064403968504447,32.0,0.0004064403968504447,0,0.0004064403968504447,0.0004064403968504447,25:0.0013933536705271476;25:0.0013933536705271476;25:0.0014035269402839223;25:0.0014035269402839223;27:0.0016365352585322734;27:0.0016365352585322734;27:0.004123916730592703;27:0.004123916730592703,25:68.0;25:68.0;25:68.0;25:68.0;27:68.0;27:68.0;27:68.0;27:68.0,25:0.0013758360076944198;25:0.0013758360076944198;25:0.0011237908374148176;25:0.0011237908374148176;27:0.002143256230475371;27:0.002143256230475371;27:0.0012954876252060377;27:0.0012954876252060377,0.0068359375,Yes
27,215.46151897808252,243.6124315746285,0.00244140625,0.0029296875,0.001953125,2584.0,0.00021620633696606593,32.0,0.00021620633696606593,0,0.00021620633696606593,0.00021620633696606593,17:0.0012074618568969908;17:0.0012074618568969908;17:0.002556938457476704;17:0.002556938457476704;26:0.0016365352585322734;26:0.0016365352585322734;26:0.004123916730592703;26:0.004123916730592703;28:0.001762194900754105;28:0.001762194900754105;28:0.0024196635653181697;28:0.0024196635653181697,17:68.0;17:68.0;17:68.0;17:68.0;26:68.0;26:68.0;26:68.0;26:68.0;28:68.0;28:68.0;28:68.0;28:68.0,17:0.00103162191770656;17:0.00103162191770656;17:0.0012281828940557682;17:0.0012281828940557682;26:0.002143256230475371;26:0.002143256230475371;26:0.0012954876252060377;26:0.0012954876252060377;28:0.0011972606352700643;28:0.0011972606352700643;28:0.001124589367176132;28:0.001124589367176132,0.00244140625,Yes
28,278.9545468882828,425.91762248182624,0.02392578125,0.0234375,0.0244140625,2584.0,0.00013409603545280673,32.0,0.00013409603545280673,0,0.00013409603545280673,0.00013409603545280673,27:0.001762194900754105;27:0.001762194900754105;27:0.0024196635653181697;27:0.0024196635653181697;29:0.005387271730507681;29:0.005387271730507681;29:0.0041699995122673195;29:0.0041699995122673195,27:68.0;27:68.0;27:68.0;27:68.0;29:68.0;29:68.0;29:68.0;29:68.0,27:0.0011972606352700643;27:0.0011972606352700643;27:0.001124589367176132;27:0.001124589367176132;29:0.0024891037231340174;29:0.0024891037231340174;29:0.0032036041410960503;29:0.0032036041410960503,0.02392578125,Yes
29,335.1741333491536,363.53366471181516,0.00341796875,0.00390625,0.0029296875,2584.0,0.00017399299574273621,32.0,0.00017399299574273621,0,0.00017399299574273621,0.00017399299574273621,28:0.005387271730507681;28:0.005387271730507681;28:0.0041699995122673195;28:0.0041699995122673195;30:0.0010118411386430826;30:0.0010118411386430826;30:0.004681541687057533;30:0.004681541687057533;38:0.001150955797709019;38:0.001150955797709019;38:0.0009226815779149189;38:0.0009226815779149189,28:68.0;28:68.0;28:68.0;28:68.0;30:68.0;30:68.0;30:68.0;30:68.0;38:68.0;38:68.0;38:68.0;38:68.0,28:0.0024891037231340174;28:0.0024891037231340174;28:0.0032036041410960503;28:0.0032036041410960503;30:0.0007145551124460581;30:0.0007145551124460581;30:0.0011330985108477243;30:0.0011330985108477243;38:0.00142463167098264;38:0.00142463167098264;38:0.0014694190714532873;38:0.0014694190714532873,0.00341796875,Yes
30,202.68015814598675,334.10568227988057,0.007568359375,0.0107421875,0.00439453125,2584.0,0.0002865266139074022,32.0,0.0002865266139074022,0,0.0002865266139074022,0.0002865266139074022,29:0.0010118411386430826;29:0.0010118411386430826;29:0.004681541687057533;29:0.004681541687057533;31:0.0033001409468444987;31:0.0033001409468444987;31:0.002679105494174744;31:0.002679105494174744,29:68.0;29:68.0;29:68.0;29:68.0;31:68.0;31:68.0;31:68.0;31:68.0,29:0.0007145551124460581;29:0.0007145551124460581;29:0.0011330985108477243;29:0.0011330985108477243;31:0.0015090182698150045;31:0.0015090182698150045;31:0.0014438165298455152;31:0.0014438165298455152,0.007568359375,Yes
31,129.44567568544394,132.35652290539306,0.007568359375,0.00732421875,0.0078125,2584.0,0.0002541637291988207,32.0,0.0002541637291988207,0,0.0002541637291988207,0.0002541637291988207,18:0.0053109231302564675;18:0.0053109231302564675;18:0.004423541388497182;18:0.004423541388497182;30:0.0033001409468444987;30:0.0033001409468444987;30:0.002679105494174744;30:0.002679105494174744;32:0.002071757386817058;32:0.002071757386817058;32:0.002131922119648244;32:0.002131922119648244,18:68.0;18:68.0;18:68.0;18:68.0;30:68.0;30:68.0;30:68.0;30:68.0;32:80.0;32:80.0;32:80.0;32:80.0,18:0.002236074116814646;18:0.002236074116814646;18:0.0021325536847218995;18:0.0021325536847218995;30:0.0015090182698150045;30:0.0015090182698150045;30:0.0014438165298455152;30:0.0014438165298455152;32:0.002233728879771746;32:0.002233728879771746;32:0.0025414827539154694;32:0.0025414827539154694,0.007568359375,Yes
32,176.67696754683217,286.49115773905373,0.004638671875,0.00732421875,0.001953125,2584.0,0.00025366185917726056,32.0,0.00025366185917726056,0,0.00025366185917726056,0.00025366185917726056,31:0.002071757386817058;31:0.002071757386817058;31:0.002131922119648244;31:0.002131922119648244;33:0.022644170854686646;33:0.022644170854686646;33:0.02452571778925558;33:0.02452571778925558,31:80.0;31:80.0;31:80.0;31:80.0;33:68.0;33:68.0;33:68.0;33:68.0,31:0.002233728879771746;31:0.002233728879771746;31:0.0025414827539154694;31:0.0025414827539154694;33:0.002498878381338443;33:0.002498878381338443;33:0.0020547775707467075;33:0.0020547775707467075,0.004638671875,Yes
33,235.69450046157812,247.75756696649196,0.00244140625,0.00146484375,0.00341796875,2584.0,0.00032874864771365015,32.0,0.00032874864771365015,0,0.00032874864771365015,0.00032874864771365015,32:0.022644170854686646;32:0.022644170854686646;32:0.02452571778925558;32:0.02452571778925558;34:0.0022375143143736065;34:0.0022375143143736065;34:0.000828095693606451;34:0.000828095693606451;39:0.0011870777811262556;39:0.0011870777811262556;39:0.003014793667591942;39:0.003014793667591942,32:68.0;32:68.0;32:68.0;32:68.0;34:68.0;34:68.0;34:68.0;34:68.0;39:68.0;39:68.0;39:68.0;39:68.0,32:0.002498878381338443;32:0.002498878381338443;32:0.0020547775707467075;32:0.0020547775707467075;34:0.001246680713308107;34:0.001246680713308107;34:0.0010260335061276493;34:0.0010260335061276493;39:0.0015457993178743523;39:0.0015457993178743523;39:0.001557374555358454;39:0.001557374555358454,0.00244140625,Yes
34,273.4332623370155,252.47761202740003,0.01025390625,0.0146484375,0.005859375,2584.0,0.00016722544395290933,32.0,0.00016722544395290933,0,0.00016722544395290933,0.00016722544395290933,33:0.0022375143143736065;33:0.0022375143143736065;33:0.000828095693606451;33:0.000828095693606451;35:0.0038714453194659826;35:0.0038714453194659826;35:0.0047042502541671805;35:0.0047042502541671805,33:68.0;33:68.0;33:68.0;33:68.0;35:68.0;35:68.0;35:68.0;35:68.0,33:0.001246680713308107;33:0.001246680713308107;33:0.0010260335061276493;33:0.0010260335061276493;35:0.0009831595567679763;35:0.0009831595567679763;35:0.003382452104276207;35:0.003382452104276207,0.01025390625,Yes
35,309.1928416517281,391.93021793263534,0.010009765625,0.013671875,0.00634765625,2584.0,0.0001600839814198754,32.0,0.0001600839814198754,0,0.0001600839814198754,0.0001600839814198754,19:0.0020939996786623893;19:0.0020939996786623893;19:0.005350918617259753;19:0.005350918617259753;34:0.0038714453194659826;34:0.0038714453194659826;34:0.0047042502541671805;34:0.0047042502541671805,19:68.0;19:68.0;19:68.0;19:68.0;34:68.0;34:68.0;34:68.0;34:68.0,19:0.0007774379485580296;19:0.0007774379485580296;19:0.0007480954831950715;19:0.0007480954831950715;34:0.0009831595567679763;34:0.0009831595567679763;34:0.003382452104276207;34:0.003382452104276207,0.010009765625,Yes
36,260.2303482829319,382.1138703740756,0.004638671875,0.00732421875,0.001953125,2584.0,0.00018920441620472533,32.0,0.00018920441620472533,0,0.00018920441620472533,0.00018920441620472533,21:0.0007764355729028838;21:0.0007764355729028838;21:0.0008779872223288188;21:0.0008779872223288188;41:0.0009185340570026235;41:0.0009185340570026235;41:0.0008939818443994552;41:0.0008939818443994552,21:68.0;21:68.0;21:68.0;21:68.0;41:68.0;41:68.0;41:68.0;41:68.0,21:0.0007131237951790159;21:0.0007131237951790159;21:0.0007332872600763485;21:0.0007332872600763485;41:0.00075578051593575;41:0.00075578051593575;41:0.0008581546024209741;41:0.0008581546024209741,0.004638671875,Yes
37,151.866118809225,210.47876284583185,0.005615234375,0.0078125,0.00341796875,2584.0,0.00015871531483676172,32.0,0.00015871531483676172,0,0.00015871531483676172,0.00015871531483676172,25:0.003712013617114124;25:0.003712013617114124;25:0.0040938200366546496;25:0.0040938200366546496;45:0.008466475350600605;45:0.008466475350600605;45:0.010378420555298112;45:0.010378420555298112,25:68.0;25:68.0;25:68.0;25:68.0;45:68.0;45:68.0;45:68.0;45:68.0,25:0.0023916850045291593;25:0.0023916850045291593;25:0.0026477218576126393;25:0.0026477218576126393;45:0.003776944099095708;45:0.003776944099095708;45:0.002762298768892585;45:0.002762298768892585,0.005615234375,Yes
