"source_file","job_id","num_qubits","physical_qubits","backend","status","folder","experiment_json","calibration_csv","expectation_value","estimated_fidelity","shots","utc_execution_time"
"w_state_1780694506.925333_5_[68, 69, 70, 71, 72, 73, 79].json","d8hjrqlv8cos73f4icgg","5","[68, 69, 70, 71, 72, 73, 79]","ibm_quebec","ok","w_state_n_5_d8hjrqlv8cos73f4icgg_68_69_70_71_72_73_79","5_w_state_2026-06-05T22_06_34Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.14791055404559894","0,8520894459544011","16384","2026-06-05T22:06:34.563491Z"
"w_state_1780694507.311457_5_[21, 22, 23, 24, 25, 37, 45].json","d8hjrqlv8cos73f4ichg","5","[21, 22, 23, 24, 25, 37, 45]","ibm_quebec","ok","w_state_n_5_d8hjrqlv8cos73f4ichg_21_22_23_24_25_37_45","5_w_state_2026-06-05T22_06_48Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.08513496654613928","0,9148650334538607","16384","2026-06-05T22:06:48.829826Z"
"w_state_1780694507.7880778_5_[68, 69, 70, 71, 72, 73, 74].json","d8hjrqtv8cos73f4ici0","5","[68, 69, 70, 71, 72, 73, 74]","ibm_quebec","ok","w_state_n_5_d8hjrqtv8cos73f4ici0_68_69_70_71_72_73_74","5_w_state_2026-06-05T22_07_03Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.13866375430559597","0,861336245694404","16384","2026-06-05T22:07:03.656782Z"
"w_state_1780694508.2063541_5_[50, 51, 58, 71, 72, 73, 79].json","d8hjrqu6983c73dr5k8g","5","[50, 51, 58, 71, 72, 73, 79]","ibm_quebec","ok","w_state_n_5_d8hjrqu6983c73dr5k8g_50_51_58_71_72_73_79","5_w_state_2026-06-05T22_07_15Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.18531610846245106","0,8146838915375489","16384","2026-06-05T22:07:15.270403Z"
"w_state_1780694508.614487_5_[50, 51, 58, 71, 72, 73, 74].json","d8hjrqu6983c73dr5k9g","5","[50, 51, 58, 71, 72, 73, 74]","ibm_quebec","ok","w_state_n_5_d8hjrqu6983c73dr5k9g_50_51_58_71_72_73_74","5_w_state_2026-06-05T22_08_14Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_03_20Z.csv","0.18067903415747366","0,8193209658425263","16384","2026-06-05T22:08:14.237405Z"
"w_state_1780694509.0361426_5_[70, 69, 68, 67, 66, 65, 77].json","d8hjrr5v8cos73f4icjg","5","[70, 69, 68, 67, 66, 65, 77]","ibm_quebec","ok","w_state_n_5_d8hjrr5v8cos73f4icjg_70_69_68_67_66_65_77","5_w_state_2026-06-05T22_08_27Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_03_20Z.csv","0.10981719981922855","0,8901828001807714","16384","2026-06-05T22:08:27.342980Z"
"w_state_1780694513.9549527_7_[36, 21, 22, 23, 24, 25, 37].json","d8hjrsdv8cos73f4icmg","7","[36, 21, 22, 23, 24, 25, 37]","ibm_quebec","ok","w_state_n_7_d8hjrsdv8cos73f4icmg_36_21_22_23_24_25_37","7_w_state_2026-06-05T22_12_32Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_08_49Z.csv","0.4241000584216861","0,5758999415783139","16384","2026-06-05T22:12:32.833866Z"
"w_state_1780694514.4935904_7_[25, 24, 23, 22, 21, 36, 41].json","d8hjrse6983c73dr5kd0","7","[25, 24, 23, 22, 21, 36, 41]","ibm_quebec","ok","w_state_n_7_d8hjrse6983c73dr5kd0_25_24_23_22_21_36_41","7_w_state_2026-06-05T22_12_46Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_08_49Z.csv","0.3499852959467964","0,6500147040532036","16384","2026-06-05T22:12:46.869203Z"
"w_state_1780694514.9252257_7_[20, 21, 22, 23, 24, 25, 37].json","d8hjrslv8cos73f4icn0","7","[20, 21, 22, 23, 24, 25, 37]","ibm_quebec","ok","w_state_n_7_d8hjrslv8cos73f4icn0_20_21_22_23_24_25_37","7_w_state_2026-06-05T22_13_08Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_08_49Z.csv","0.40908033715503045","0,5909196628449696","16384","2026-06-05T22:13:08.965490Z"
"w_state_1780694515.355341_7_[24, 23, 22, 21, 36, 41, 40].json","d8hjrsm6983c73dr5kdg","7","[24, 23, 22, 21, 36, 41, 40]","ibm_quebec","ok","w_state_n_7_d8hjrsm6983c73dr5kdg_24_23_22_21_36_41_40","7_w_state_2026-06-05T22_13_50Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_08_49Z.csv","0.3205033852125796","0,6794966147874204","16384","2026-06-05T22:13:50.839354Z"
"w_state_1780694515.786465_7_[68, 69, 70, 71, 72, 73, 79].json","d8hjrss2upec739l6g6g","7","[68, 69, 70, 71, 72, 73, 79]","ibm_quebec","ok","w_state_n_7_d8hjrss2upec739l6g6g_68_69_70_71_72_73_79","7_w_state_2026-06-05T22_14_11Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_08_49Z.csv","0.2525120563203076","0,7474879436796924","16384","2026-06-05T22:14:11.727333Z"
"w_state_1780694516.2427723_7_[21, 22, 23, 24, 25, 37, 45].json","d8hjrsu6983c73dr5ke0","7","[21, 22, 23, 24, 25, 37, 45]","ibm_quebec","ok","w_state_n_7_d8hjrsu6983c73dr5ke0_21_22_23_24_25_37_45","7_w_state_2026-06-05T22_14_25Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T22_08_49Z.csv","0.41364532726364134","0,5863546727363587","16384","2026-06-05T22:14:25.632592Z"
